# SPARC Table 1 (Lelli+ 2016c, AJ 152, 157) — galaxy-level metadata
# Source: http://astroweb.cwru.edu/SPARC/SPARC_Lelli2016c.mrt
# Fetched 2026-04-25. Extracted columns: Galaxy name | HubType | D (Mpc) |
# e_D (Mpc) | Q_D | Inclination i (deg) | e_i (deg).  Full MRT has more
# columns (luminosity, gas mass, etc.) but those are not needed for P3.
#
# Q_D key: 1 = direct (Cepheids/TRGB), 2 = TRGB-quality, 3 = rotation-curve
# direct, 4 = group/cluster membership, 5 = Hubble-flow redshift.
# e_D scales with Q_D: Q=1 typically 5-10%, Q=5 typically 20-25%.
#
# Name          HubType  D(Mpc)  e_D   Q_D  i(deg)  e_i
KK98-251        10       6.80   2.04  1    59.0    5.0
NGC0024          5       7.30   0.36  2    64.0    3.0
NGC0055          9       2.11   0.11  2    77.0    3.0
NGC0100          6      13.50   4.05  1    89.0    1.0
NGC0247          7       3.70   0.19  2    74.0    3.0
NGC0289          4      20.80   5.20  1    46.0    5.0
NGC0300          7       2.08   0.10  2    42.0   10.0
NGC0801          5      80.70   8.07  1    80.0    1.0
NGC0891          3       9.91   0.50  2    90.0    1.0
NGC1003          6      11.40   3.42  1    67.0    5.0
NGC1090          4      37.00   9.25  1    64.0    3.0
NGC1705         11       5.73   0.29  2    80.0   10.0
NGC2366         10       3.27   0.16  2    68.0    5.0
NGC2403          6       3.16   0.16  2    63.0    3.0
NGC2683          3       9.81   0.49  2    80.0    5.0
NGC2841          3      14.10   1.40  3    76.0   10.0
NGC2903          4       6.60   1.98  1    66.0    3.0
NGC2915         11       4.06   0.20  2    56.0    4.0
NGC2955          3      97.90   9.80  1    56.0    7.0
NGC2976          5       3.58   0.18  2    61.0   10.0
NGC2998          5      68.10  10.20  1    58.0    2.0
NGC3109          9       1.33   0.07  2    70.0    5.0
NGC3198          5      13.80   1.40  3    73.0    3.0
NGC3521          4       7.70   2.30  1    75.0    5.0
NGC3726          5      18.00   2.50  4    53.0    2.0
NGC3741         10       3.21   0.17  2    70.0    4.0
NGC3769          3      18.00   2.50  4    70.0    2.0
NGC3877          5      18.00   2.50  4    76.0    1.0
NGC3893          5      18.00   2.50  4    49.0    2.0
NGC3917          6      18.00   2.50  4    79.0    2.0
NGC3949          4      18.00   2.50  4    55.0    2.0
NGC3953          4      18.00   2.50  4    62.0    1.0
NGC3972          4      18.00   2.50  4    77.0    1.0
NGC3992          4      23.70   2.30  5    56.0    2.0
NGC4010          7      18.00   2.50  4    89.0    1.0
NGC4013          3      18.00   2.50  4    89.0    1.0
NGC4051          4      18.00   2.50  4    49.0    3.0
NGC4068         10       4.37   0.22  2    44.0    6.0
NGC4085          5      18.00   2.50  4    82.0    2.0
NGC4088          4      18.00   2.50  4    69.0    2.0
NGC4100          4      18.00   2.50  4    73.0    2.0
NGC4138          0      18.00   2.50  4    53.0    3.0
NGC4157          3      18.00   2.50  4    82.0    3.0
NGC4183          6      18.00   2.50  4    82.0    2.0
NGC4214         10       2.87   0.14  2    15.0   10.0
NGC4217          3      18.00   2.50  4    86.0    2.0
NGC4389          4      18.00   2.50  4    50.0    4.0
NGC4559          6       9.00   2.70  1    67.0    1.0
NGC5005          4      16.90   1.50  5    68.0    2.0
NGC5033          5      15.70   4.70  1    66.0    1.0
NGC5055          4       9.90   0.30  2    55.0    6.0
NGC5371          4      39.70   9.92  1    53.0    2.0
NGC5585          7       7.06   2.12  1    51.0    2.0
NGC5907          5      17.30   0.90  2    88.0    2.0
NGC5985          3      39.70   9.90  1    60.0    2.0
NGC6015          6      17.00   5.10  1    60.0    2.0
NGC6195          3     127.80  12.80  1    62.0    5.0
NGC6503          6       6.26   0.31  2    74.0    2.0
NGC6674          3      51.20  10.20  1    54.0    6.0
NGC6789         11       3.52   0.18  2    43.0    7.0
NGC6946          6       5.52   1.66  2    38.0    2.0
NGC7331          3      14.70   1.50  3    75.0    2.0
NGC7793          7       3.61   0.18  2    47.0    9.0
NGC7814          2      14.40   0.66  2    90.0    1.0
PGC51017        11      13.60   1.40  2    66.0    3.0
UGC00128         8      64.50   9.70  1    57.0   10.0
UGC00191         9      17.10   5.10  1    45.0    5.0
UGC00634         9      30.90   7.70  1    37.0    8.0
UGC00731        10      12.50   3.75  1    57.0    3.0
UGC00891         9      10.20   3.10  1    60.0    5.0
UGC01230         9      53.70  10.70  1    22.0   10.0
UGC01281         8       5.27   0.24  2    90.0    1.0
UGC02023        10      10.40   3.10  1    19.0   10.0
UGC02259         8      10.50   3.10  1    41.0    3.0
UGC02455        10       6.92   2.08  1    51.0    5.0
UGC02487         0      69.10  10.40  1    36.0    5.0
UGC02885         5      80.60   8.06  1    64.0    4.0
UGC02916         2      65.40   9.80  1    50.0    5.0
UGC02953         2      16.50   4.95  1    50.0    4.0
UGC03205         2      50.00  10.00  1    67.0    4.0
UGC03546         1      28.70   7.20  1    55.0    5.0
UGC03580         1      20.70   5.20  1    63.0    4.0
UGC04278         7       9.51   2.85  1    90.0    3.0
UGC04305        10       3.45   0.17  2    40.0   10.0
UGC04325         9       9.60   2.88  1    41.0    3.0
UGC04483        10       3.34   0.31  2    58.0    3.0
UGC04499         8      12.50   3.75  1    50.0    3.0
UGC05005        10      53.70  10.70  1    41.0   10.0
UGC05253         2      22.90   5.72  1    37.0    4.0
UGC05414        10       9.40   2.82  1    55.0    3.0
UGC05716         9      21.30   5.30  1    54.0   10.0
UGC05721         7       6.18   1.85  1    61.0    5.0
UGC05750         8      58.70  11.70  1    64.0   10.0
UGC05764        10       7.47   2.24  1    60.0   10.0
UGC05829        10       8.64   2.59  1    34.0   10.0
UGC05918        10       7.66   2.30  1    46.0    5.0
UGC05986         9       8.63   2.59  1    90.0    3.0
UGC05999        10      47.70   9.50  1    22.0   10.0
UGC06399         9      18.00   2.50  4    75.0    2.0
UGC06446         7      12.00   3.60  1    51.0    3.0
UGC06614         1      88.70   8.87  1    36.0   10.0
UGC06628         9      15.10   4.53  1    20.0   10.0
UGC06667         6      18.00   2.50  4    89.0    1.0
UGC06786         0      29.30   7.32  1    64.0    3.0
UGC06787         2      21.30   5.32  1    66.0    3.0
UGC06818         9      18.00   2.50  4    75.0    3.0
UGC06917         9      18.00   2.50  4    56.0    2.0
UGC06923        10      18.00   2.50  4    65.0    2.0
UGC06930         7      18.00   2.50  4    32.0    5.0
UGC06973         2      18.00   2.50  4    71.0    3.0
UGC06983         6      18.00   2.50  4    49.0    1.0
UGC07089         8      18.00   2.50  4    80.0    3.0
UGC07125         9      19.80   5.90  1    90.0    3.0
UGC07151         6       6.87   0.34  2    90.0    3.0
UGC07232        10       2.83   0.17  2    59.0    5.0
UGC07261         8      13.10   3.93  1    30.0   10.0
UGC07323         8       8.00   2.40  1    47.0    3.0
UGC07399         8       8.43   2.53  1    55.0    3.0
UGC07524         9       4.74   0.24  2    46.0    3.0
UGC07559        10       4.97   0.25  2    61.0    3.0
UGC07577        10       2.59   0.13  2    63.0    3.0
UGC07603         7       4.70   1.41  1    78.0    3.0
UGC07608        10       8.21   2.46  1    25.0   10.0
UGC07690        10       8.11   2.43  1    41.0    5.0
UGC07866        10       4.57   0.23  2    44.0    5.0
UGC08286         6       6.50   0.21  2    90.0    3.0
UGC08490         9       4.65   0.53  2    50.0    3.0
UGC08550         7       6.70   2.00  1    90.0    3.0
UGC08699         2      39.30   9.82  1    73.0    9.0
UGC08837        10       7.21   0.36  2    80.0    5.0
UGC09037         6      83.60   8.40  1    65.0    5.0
UGC09133         2      57.10  11.40  1    53.0    6.0
UGC09992        10      10.70   3.21  1    30.0   10.0
UGC10310         9      15.20   4.60  1    34.0    6.0
UGC11455         6      78.60  11.80  1    90.0    1.0
UGC11557         8      24.20   6.05  1    30.0   10.0
UGC11820         9      18.10   5.43  1    45.0   10.0
UGC11914         2      16.90   5.10  1    31.0    5.0
UGC12506         6     100.60  10.10  1    86.0    4.0
UGC12632         9       9.77   2.93  1    46.0    3.0
UGC12732         9      13.20   4.00  1    39.0    6.0
UGCA281         11       5.68   0.28  2    67.0    3.0
UGCA442          9       4.35   0.22  2    64.0    7.0
UGCA444         10       0.98   0.05  2    78.0    4.0
