# SPARC Table 1 (Lelli+ 2016c, AJ 152, 157) — galaxy-level metadata
# Source: http://astroweb.cwru.edu/SPARC/SPARC_Lelli2016c.mrt
# Fetched 2026-04-25. Extracted columns: Galaxy name | HubType | D (Mpc) |
# e_D (Mpc) | Q_D | Inclination i (deg) | e_i (deg).  Full MRT has more
# columns (luminosity, gas mass, etc.) but those are not needed for P3.
#
# Q_D key: 1 = direct (Cepheids/TRGB), 2 = TRGB-quality, 3 = rotation-curve
# direct, 4 = group/cluster membership, 5 = Hubble-flow redshift.
# e_D scales with Q_D: Q=1 typically 5-10%, Q=5 typically 20-25%.
#
# Name          HubType  D(Mpc)  e_D   Q_D  i(deg)  e_i
CamB            10       3.36   0.26  2    65.0    5.0
D512-2          10      15.20   4.56  1    56.0   10.0
D564-8          10       8.79   0.28  2    63.0    7.0
D631-7          10       7.72   0.18  2    59.0    3.0
DDO064          10       6.80   2.04  1    60.0    5.0
DDO154          10       4.04   0.20  2    64.0    3.0
DDO161          10       7.50   2.25  1    70.0   10.0
DDO168          10       4.25   0.21  2    63.0    6.0
DDO170          10      15.40   4.62  1    66.0    7.0
ESO079-G014      4      28.70   7.17  1    79.0    5.0
ESO116-G012      7      13.00   3.90  1    74.0    3.0
ESO444-G084     10       4.83   0.48  2    32.0    6.0
ESO563-G021      4      60.80   9.10  1    83.0    3.0
F561-1           9      66.40  10.00  1    24.0   10.0
F563-1           9      48.90   9.80  1    25.0    5.0
F563-V1         10      54.00  10.80  1    60.0   10.0
F563-V2         10      59.70  11.90  1    29.0   10.0
F565-V2         10      51.80  10.40  1    60.0   10.0
F567-2           9      79.00  11.80  1    20.0   10.0
F568-1           5      90.70   9.70  1    26.0    5.0
F568-3           7      82.40   8.24  1    40.0   10.0
F568-V1          7      80.60   8.06  1    40.0   10.0
F571-8           5      53.30  10.70  1    85.0    5.0
F571-V1          7      80.10   8.00  1    30.0   10.0
F574-1           7      96.80   9.68  1    65.0   10.0
F574-2           9      89.10   8.91  1    30.0   10.0
F579-V1          5      89.50   8.95  1    26.0   10.0
F583-1           9      35.40   8.85  1    63.0    5.0
F583-4           5      53.30  10.70  1    55.0   10.0
IC2574           9       3.91   0.20  2    75.0    7.0
IC4202           4     100.40  10.00  1    90.0    1.0
