metric,alternative,comparison,n_left,n_right,median_left,median_right,median_diff_right_minus_left,perm_p_one_sided,ci95_low,ci95_high,trend_spearman,trend_p_one_sided
rms_log_tpg,greater,nonA_minus_A,19,156,0.12435549865651069,0.18218272699538746,0.05782722833887677,0.014298570142985701,0.018513942678507256,0.09097563507134625,0.16733434777361197,0.014198580141985802
rms_log_tpg,greater,C_minus_nonC,122,53,0.15114522604038697,0.19447788980183073,0.04333266376144376,0.0892910708929107,-0.009469399490390551,0.0835880331436479,0.16733434777361197,0.014198580141985802
rms_log_tpg,greater,C_minus_A,19,53,0.12435549865651069,0.19447788980183073,0.07012239114532004,0.0021997800219978004,0.021698762088653484,0.11506978231892939,0.16733434777361197,0.014198580141985802
weighted_rms_log_tpg,greater,nonA_minus_A,19,156,0.09799160786312039,0.17942935427380824,0.08143774641068785,0.0071992800719928,0.024515080305092446,0.11662959341058689,0.20237505807406309,0.0035996400359964
weighted_rms_log_tpg,greater,C_minus_nonC,122,53,0.13850685815724928,0.1981222408564065,0.05961538269915723,0.023397660233976603,0.0004934913748869951,0.09688011279562486,0.20237505807406309,0.0035996400359964
weighted_rms_log_tpg,greater,C_minus_A,19,53,0.09799160786312039,0.1981222408564065,0.10013063299328612,0.000999900009999,0.040517070399196914,0.14658589843770897,0.20237505807406309,0.0035996400359964
outer_mean_log_residual_tpg,less,nonA_minus_A,19,156,0.009280228312582193,-0.008188722607875796,-0.017468950920457988,0.3157684231576842,-0.0935835813763076,0.030102930601218464,-0.06090835270669394,0.21857814218578142
outer_mean_log_residual_tpg,less,C_minus_nonC,122,53,0.0021767409786857123,-0.02873247288958129,-0.030909213868267,0.0898910108989101,-0.09223631567572123,0.034472081969186455,-0.06090835270669394,0.21857814218578142
outer_mean_log_residual_tpg,less,C_minus_A,19,53,0.009280228312582193,-0.02873247288958129,-0.03801270120216348,0.2532746725327467,-0.13277202267128355,0.034268389913090905,-0.06090835270669394,0.21857814218578142
