galaxy_name,n_points,mean_err_vobs_kms,max_radius_kpc,hubble_type,distance_quality,inclination_deg,inclination_error_deg,suggested_class,suggested_proxy,label_confidence,reason
CamB,9,1.5,1.79,10,2,65.0,5.0,B,0.5,Low,low mean Vobs error; short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
D512-2,4,3.8975,3.83,10,1,56.0,10.0,C,0.0,Low,few rotation-curve points; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
D564-8,6,1.75,3.07,10,2,63.0,7.0,C,0.0,Low,few rotation-curve points; low mean Vobs error; good distance-quality flag; irregular/dwarf Hubble type
D631-7,16,2.440625,7.19,10,2,59.0,3.0,B,0.5,Medium,many rotation-curve points; low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
DDO064,14,5.077857142857143,2.98,10,1,60.0,5.0,C,0.0,Low,short radial coverage; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
DDO154,12,0.6250000000000001,5.92,10,2,64.0,3.0,B,0.5,Medium,low mean Vobs error; well-conditioned inclination; good distance-quality flag; irregular/dwarf Hubble type
DDO161,31,2.346774193548387,13.37,10,1,70.0,10.0,B,0.5,Low,many rotation-curve points; low mean Vobs error; extended radial coverage; large inclination uncertainty; good distance-quality flag; irregular/dwarf Hubble type
DDO168,10,1.94,4.12,10,2,63.0,6.0,B,0.5,Medium,low mean Vobs error; good distance-quality flag; irregular/dwarf Hubble type
DDO170,8,1.3875,12.33,10,1,66.0,7.0,B,0.5,Medium,low mean Vobs error; extended radial coverage; good distance-quality flag; irregular/dwarf Hubble type
ESO079-G014,15,5.7186666666666675,16.67,4,1,79.0,5.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
ESO116-G012,15,3.134666666666667,9.86,7,1,74.0,3.0,A,1.0,Medium,many rotation-curve points; extended radial coverage; well-conditioned inclination; good distance-quality flag; disk-like Hubble type
ESO444-G084,7,3.2157142857142853,4.44,10,2,32.0,6.0,C,0.0,Low,few rotation-curve points; good distance-quality flag; irregular/dwarf Hubble type
