GalaxyName,Class,Role,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR,FigureUse
NGC2403,A,regular external A example,0.160000000,24.500000000,2.830000000,16.411948391,0.0509349877759,0.0380741550989,0.0444700367402,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.260000000,35.300000000,2.460000000,24.982082579,0.0560854593265,0.0411476842555,0.0495060404471,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.360000000,43.200000000,1.120000000,33.268255891,0.0108162958581,0.00583569283975,0.00411929855819,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.460000000,52.000000000,1.250000000,40.144181397,0.0279430423368,0.0104408560108,0.0213089012526,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.560000000,60.900000000,2.930000000,45.169414984,0.0737042873116,0.055963915405,0.0671144276227,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.660000000,65.800000000,1.250000000,47.866238624,0.0860408232462,0.0685955337157,0.0793981754248,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.760000000,71.700000000,1.250000000,50.195617837,0.117559688501,0.100407433068,0.110884144167,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.860000000,74.600000000,1.600000000,51.608743445,0.119152514488,0.102450889227,0.112456003476,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,0.960000000,74.600000000,1.030000000,53.093491597,0.0825851825374,0.0662469640213,0.0758920551516,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.060000000,76.600000000,1.120000000,54.706892619,0.0729855326707,0.0569188782263,0.0663041179014,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.160000000,78.500000000,1.600000000,56.394174788,0.0624790814107,0.0466173253363,0.0558107305893,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.270000000,83.400000000,1.800000000,58.337798210,0.0855225396255,0.0698202669883,0.0788664755377,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.360000000,86.400000000,1.600000000,60.489901223,0.0852694594936,0.069539339349,0.0786111290837,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.470000000,87.400000000,1.410000000,62.449174534,0.0626669366236,0.0470348313139,0.0560167939754,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.570000000,90.300000000,1.410000000,64.462057445,0.0632077832316,0.047592209483,0.0565590780219,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.670000000,93.300000000,1.600000000,66.743421399,0.0623570529028,0.0466868995678,0.0557036626112,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.770000000,93.300000000,1.410000000,68.790596741,0.0325067687522,0.0168207732664,0.0258520517734,paper1_external_label_contrast_visual_context_only_not_endpoint
NGC2403,A,regular external A example,1.870000000,95.200000000,1.250000000,70.462785568,0.0275455156762,0.0119079080704,0.0208948981002,paper1_external_label_contrast_visual_context_only_not_endpoint
