Name,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,<A1>,<A2>,Avel,Simbad,_RA,_DE
NGC2537,-1.42,9.0,2,17,0.202,1.2,1.27,0.15,0.02,0.27,0.044,Simbad,123.31101,45.98979
NGC2541,-1.39,8.5,2,3,0.148,1.04,1.06,0.15,0.1,0.31,0.058,Simbad,123.66715,49.06167
NGC3198,-0.82,9.6,3,1,0.086,1.07,1.03,0.14,0.12,,0.014,Simbad,154.97912,45.54969
NGC4062,-0.72,8.7,3,1,0.092,1.08,1.06,0.05,0.09,0.41,0.01,Simbad,181.01587,31.89569
NGC4244,-0.86,10.4,2,1,0.072,1.04,1.17,0.1,0.43,,0.029,Simbad,184.37358,37.80711
NGC4258,-1.38,8.3,1,3,0.1,1.03,1.09,0.24,0.31,,0.036,Simbad,184.74008,47.30372
NGC4274,-0.74,8.9,17,15,0.504,1.21,1.48,0.1,0.21,,0.04,Simbad,184.9608,29.61479
NGC4414,-0.68,9.9,7,0,0.242,1.15,1.29,0.24,0.31,0.33,0.062,Simbad,186.61303,31.22351
NGC4448,-0.98,10.7,6,,0.478,1.08,1.02,0.04,0.14,,0.02,Simbad,187.06428,28.6203
NGC4559,-0.64,9.8,1,4,0.136,1.03,1.03,0.15,0.13,,0.025,Simbad,188.99017,27.95996
NGC4565,-0.99,10.2,18,15,0.448,1.21,1.56,0.15,0.49,,0.039,Simbad,189.08668,25.98739
NGC4631,-0.96,10.0,6,9,0.212,1.09,1.31,0.29,0.42,0.37,0.069,Simbad,190.53337,32.54151
NGC5023,-1.41,11.0,1,6,0.066,1.03,1.06,0.05,0.05,,0.012,Simbad,198.04918,44.03815
NGC5055,-1.34,,1,2,0.114,1.03,1.1,0.27,0.17,0.34,0.036,Simbad,198.95531,42.02937
NGC5229,-1.45,10.3,1,8,0.19,1.09,1.08,0.05,0.16,0.15,0.024,Simbad,203.5118,47.91547
NGC5585,-1.39,8.4,4,4,0.168,1.18,1.41,0.13,0.09,0.27,0.044,Simbad,214.95085,56.72905
UGC4278,-1.42,7.8,5,4,0.182,1.14,1.2,0.07,0.3,0.25,0.035,Simbad,123.49545,45.74215
UGC7774,-1.05,8.5,1,3,0.102,1.03,1.07,0.08,0.14,,0.012,Simbad,189.09465,40.0052
