UGC,Gini,e_Gini,M20,e_M20,C,e_C,A,e_A,S,e_S,Ell,e_Ell,GM,e_GM,Axy,e_Axy,Simbad,NED,_RA,_DE
06016,0.549,0.007,-0.726,0.02,9.315,0.198,2.0,0.0,0.326,0.007,0.675,0.002,0.694,0.003,1.414,0.0,Simbad,NED,163.55317,54.28717
06024,0.549,0.007,-1.491,0.051,10.099,0.258,1.123,0.057,0.326,0.006,0.675,0.003,0.601,0.006,1.372,0.019,Simbad,NED,163.6635,54.30523
06118,0.638,0.005,-0.62,0.012,16.763,0.155,1.398,0.146,0.105,0.006,0.792,0.004,0.812,0.002,1.414,0.011,Simbad,NED,165.79663,27.97244
06126,0.733,0.004,-2.349,0.072,9.047,0.332,1.228,0.326,0.115,0.003,0.631,0.005,0.867,0.002,1.414,0.024,Simbad,NED,165.93065,28.88711
06128,0.638,0.005,-0.856,0.031,18.877,0.553,2.0,0.0,0.105,0.006,0.792,0.003,0.792,0.002,1.414,0.0,Simbad,NED,166.01245,28.03683
06161,0.588,0.004,-1.553,0.048,8.049,0.101,0.934,0.143,0.248,0.004,0.226,0.005,0.441,0.005,1.376,0.02,Simbad,NED,166.70483,43.72289
06225,0.599,0.004,-1.137,0.025,7.713,0.335,1.212,0.204,0.2,0.005,0.599,0.004,0.538,0.005,1.414,0.017,Simbad,NED,167.87903,55.67412
06251,0.548,0.005,-1.523,0.087,7.772,0.265,0.785,0.21,0.222,0.005,0.06,0.01,0.416,0.009,1.414,0.025,Simbad,NED,168.35871,53.59458
06263,0.497,0.008,-1.497,0.091,8.242,0.251,1.254,0.036,0.422,0.012,0.355,0.014,0.51,0.004,1.385,0.015,Simbad,NED,168.54575,48.31838
06283,0.656,0.003,-1.607,0.055,8.958,0.153,0.825,0.26,0.167,0.004,0.642,0.003,0.53,0.003,1.355,0.025,Simbad,NED,168.96658,41.59138
06446,0.541,0.003,-1.151,0.046,5.965,0.165,0.719,0.047,0.222,0.005,0.273,0.005,0.424,0.004,1.414,0.019,Simbad,NED,171.66896,53.74653
06456,0.647,0.012,-2.111,0.204,10.578,0.627,1.325,0.156,0.347,0.009,0.224,0.013,0.46,0.005,1.348,0.033,Simbad,NED,172.00179,78.994
06537,0.58,0.003,-1.22,0.026,6.583,0.121,0.926,0.207,0.252,0.003,0.496,0.003,0.497,0.002,1.414,0.012,Simbad,NED,173.33822,47.02909
06621,0.779,0.005,-0.688,0.002,0.178,0.003,2.0,0.0,0.112,0.008,0.66,0.004,0.782,0.003,1.414,0.0,Simbad,NED,174.92697,31.90936
06628,0.583,0.003,-1.1,0.021,5.213,0.159,1.464,0.04,0.182,0.005,0.167,0.006,0.42,0.006,1.378,0.018,Simbad,NED,175.02392,45.94228
06713,0.48,0.007,-1.199,0.046,6.492,0.163,1.021,0.067,0.366,0.009,0.025,0.009,0.444,0.006,1.414,0.022,Simbad,NED,176.10425,48.83525
06733,,,,,,,,,,,,,,,,,Simbad,NED,176.3975,55.88664
06742,0.63,0.01,-2.348,0.226,11.883,0.667,0.902,0.193,0.306,0.009,0.206,0.016,0.486,0.009,1.414,0.042,Simbad,NED,176.48597,50.19991
06778,0.577,0.004,-1.816,0.115,9.055,0.292,1.193,0.021,0.318,0.004,0.713,0.003,0.817,0.002,1.389,0.012,Simbad,NED,177.1592,48.71079
06786,0.688,0.004,-0.324,0.014,14.091,0.333,0.842,0.108,0.108,0.004,0.882,0.001,0.916,0.001,1.413,0.02,Simbad,NED,177.28931,27.02207
06787,0.548,0.004,-0.898,0.093,7.252,0.112,0.886,0.075,0.244,0.006,0.444,0.012,0.866,0.002,1.393,0.012,Simbad,NED,177.31404,56.08435
06791,0.688,0.005,-0.895,0.019,3.553,1.988,2.0,0.0,0.108,0.004,0.882,0.001,0.727,0.002,1.414,0.0,Simbad,NED,177.34854,26.74153
06797,0.577,0.004,-0.64,0.002,1.288,0.01,2.0,0.0,0.318,0.003,0.713,0.003,0.642,0.002,1.414,0.004,Simbad,NED,177.41873,48.42596
06813,0.511,0.006,-1.001,0.036,5.381,0.334,1.609,0.064,0.342,0.006,0.057,0.009,0.446,0.006,1.414,0.019,Simbad,NED,177.6622,55.35387
06815,0.613,0.002,-0.657,0.005,19.469,0.205,2.0,0.0,0.495,0.002,0.907,0.0,0.759,0.001,1.413,0.001,Simbad,NED,177.68953,51.82421
06816,,,,,,,,,,,,,,,,,Simbad,NED,177.69817,56.45558
06817,0.546,0.004,-1.569,0.036,7.867,0.264,0.92,0.033,0.227,0.001,0.238,0.002,0.434,0.003,1.414,0.014,Simbad,NED,177.72077,38.88081
06833,0.502,0.006,-1.063,0.023,5.63,0.077,0.72,0.143,0.212,0.005,0.335,0.004,0.43,0.008,1.379,0.018,Simbad,NED,177.94177,38.01513
06840,0.613,0.003,-0.626,0.001,1.235,0.026,1.757,0.034,0.495,0.001,0.907,0.0,0.712,0.001,1.409,0.002,Simbad,NED,178.02949,52.10794
06856,,,,,,,,,,,,,,,,,Simbad,NED,178.20605,44.12073
06869,,,,,,,,,,,,,,,,,Simbad,NED,178.42395,47.85878
06870,0.613,0.004,-0.674,0.009,20.185,0.184,2.0,0.0,0.495,0.001,0.907,0.0,0.854,0.0,1.414,0.002,Simbad,NED,178.45428,52.32654
06880,0.548,0.005,-0.639,0.007,2.119,0.062,2.0,0.0,0.414,0.01,0.564,0.007,0.656,0.002,1.396,0.009,Simbad,NED,178.64041,58.36702
06884,0.548,0.006,-1.617,0.133,7.392,0.179,1.407,0.141,0.414,0.006,0.564,0.007,0.68,0.004,1.414,0.016,Simbad,NED,178.74465,58.49345
06917,,,,,,,,,,,,,,,,,Simbad,NED,179.11989,50.42839
06921,0.565,0.008,-1.647,0.084,9.452,0.25,1.362,0.084,0.479,0.009,0.21,0.008,0.506,0.007,1.369,0.022,Simbad,NED,179.17545,48.33396
06923,,,,,,,,,,,,,,,,,Simbad,NED,179.20636,53.16034
06922,,,,,,,,,,,,,,,,,Simbad,NED,179.21787,50.81686
06930,0.497,0.004,-1.153,0.027,5.921,0.105,0.875,0.031,0.334,0.005,0.066,0.007,0.43,0.003,1.389,0.014,Simbad,NED,179.32248,49.28325
06937,,,,,,,,,,,,,,,,,Simbad,NED,179.39993,53.37452
06944,0.652,0.004,-1.181,0.023,11.243,0.585,1.423,0.113,0.207,0.003,0.278,0.004,0.655,0.003,1.386,0.016,Simbad,NED,179.43379,32.29416
06940,,,,,,,,,,,,,,,,,Simbad,NED,179.44904,53.23414
06956,,,,,,,,,,,,,,,,,Simbad,NED,179.60817,50.91761
06964,0.698,0.006,-1.402,0.051,9.291,0.532,1.042,0.144,0.284,0.007,0.52,0.004,0.554,0.005,1.368,0.02,Simbad,NED,179.6583,47.26131
06969,,,,,,,,,,,,,,,,,Simbad,NED,179.69854,53.4245
07030,0.557,0.006,-1.0,0.041,4.654,0.184,0.9,0.094,0.278,0.005,0.093,0.006,0.438,0.008,1.414,0.013,Simbad,NED,180.79036,44.53126
07047,0.639,0.004,-1.223,0.048,6.523,0.207,0.747,0.086,0.213,0.002,0.285,0.007,0.495,0.004,1.381,0.017,Simbad,NED,181.00937,52.58861
07075,0.622,0.003,-0.673,0.01,3.079,0.107,1.829,0.042,0.352,0.002,0.722,0.001,0.716,0.001,1.398,0.006,Simbad,NED,181.3446,50.35275
07081,0.622,0.003,-0.804,0.023,9.335,0.184,2.0,0.0,0.352,0.003,0.722,0.001,0.813,0.002,1.414,0.0,Simbad,NED,181.39245,50.53903
07089,0.68,0.006,-2.507,0.155,9.857,0.432,1.247,0.166,0.202,0.005,0.825,0.002,0.8,0.004,1.368,0.02,Simbad,NED,181.49158,43.14364
07090,0.618,0.005,-1.284,0.037,8.278,0.199,0.639,0.208,0.182,0.007,0.57,0.005,0.556,0.006,1.414,0.018,Simbad,NED,181.50484,47.47836
07095,0.543,0.006,-1.291,0.044,7.579,0.303,0.853,0.112,0.266,0.007,0.591,0.004,0.505,0.005,1.384,0.02,Simbad,NED,181.53584,49.58231
07094,0.68,0.005,-0.618,0.003,0.87,0.051,2.0,0.0,0.202,0.004,0.825,0.002,0.794,0.001,1.414,0.0,Simbad,NED,181.54489,42.95579
07125,0.664,0.003,-1.483,0.075,9.577,0.2,1.034,0.267,0.138,0.003,0.709,0.002,0.594,0.005,1.414,0.029,Simbad,NED,182.17297,36.8023
07151,0.677,0.004,-1.247,0.041,7.737,0.158,0.985,0.394,0.144,0.002,0.518,0.004,0.566,0.003,1.358,0.025,Simbad,NED,182.49417,46.45718
07154,,,,,,,,,,,,,,,,,Simbad,NED,182.50635,39.88386
07166,0.452,0.003,-0.955,0.019,5.207,0.092,0.96,0.086,0.211,0.003,0.086,0.004,0.467,0.003,1.414,0.008,Simbad,NED,182.63572,39.4058
07183,0.598,0.005,-1.897,0.069,9.545,0.127,0.947,0.161,0.321,0.003,0.404,0.007,0.708,0.004,1.414,0.012,Simbad,NED,182.76819,50.48468
07199,0.579,0.006,-2.103,0.129,11.119,0.528,1.19,0.116,0.301,0.004,0.328,0.004,0.514,0.005,1.414,0.022,Simbad,NED,183.03762,36.16808
07204,0.654,0.006,-1.348,0.035,8.67,0.473,1.345,0.383,0.192,0.005,0.716,0.003,0.594,0.005,1.414,0.018,Simbad,NED,183.089,29.20747
07222,0.688,0.004,-1.198,0.069,8.683,0.243,1.709,0.455,0.202,0.003,0.767,0.002,0.627,0.005,1.368,0.024,Simbad,NED,183.32025,43.69827
07232,0.63,0.003,-0.589,0.002,12.097,0.143,1.793,0.035,0.391,0.002,0.781,0.0,0.777,0.001,1.404,0.005,Simbad,NED,183.43399,36.63127
07256,0.552,0.003,-0.501,0.012,7.309,0.162,1.046,0.04,0.215,0.002,0.205,0.004,0.672,0.003,1.414,0.008,Simbad,NED,183.77093,33.19724
07261,0.551,0.003,-1.069,0.02,5.091,0.138,0.559,0.103,0.138,0.003,0.138,0.006,0.391,0.004,1.414,0.013,Simbad,NED,183.80983,20.65908
07278,,,,,,,,,,,,,,,,,Simbad,NED,183.91322,36.32689
07323,0.531,0.004,-0.938,0.019,4.989,0.135,0.74,0.101,0.172,0.003,0.255,0.003,0.454,0.008,1.414,0.014,Simbad,NED,184.3755,45.61919
07321,0.695,0.003,-1.241,0.024,7.871,0.151,0.838,0.399,0.092,0.002,0.708,0.002,0.635,0.004,1.352,0.031,Simbad,NED,184.39175,22.53982
07329,,,,,,,,,,,,,,,,,Simbad,NED,184.35959,70.80261
07353,,,,,,,,,,,,,,,,,Simbad,NED,184.74008,47.30372
07399,0.605,0.005,-1.781,0.052,9.268,0.225,1.084,0.226,0.253,0.003,0.381,0.005,0.495,0.003,1.381,0.017,Simbad,NED,185.15883,46.29102
07408,0.554,0.004,-1.608,0.054,8.374,0.607,1.187,0.056,0.307,0.007,0.257,0.016,0.573,0.004,1.414,0.021,Simbad,NED,185.31362,45.81169
07483,0.705,0.005,-1.469,0.08,8.312,0.26,1.467,0.467,0.158,0.002,0.344,0.015,0.52,0.006,1.414,0.034,Simbad,NED,186.04608,31.52161
07489,0.562,0.011,-1.745,0.215,8.657,0.569,1.196,0.24,0.335,0.016,0.428,0.013,0.522,0.014,1.316,0.043,Simbad,NED,186.15085,39.38298
07490,0.528,0.005,-1.271,0.023,6.43,0.168,1.78,0.115,0.402,0.003,0.053,0.007,0.506,0.003,1.397,0.01,Simbad,NED,186.10346,70.33414
07506,0.612,0.009,-0.789,0.048,22.829,1.016,1.628,0.059,0.419,0.012,0.893,0.002,0.85,0.002,1.368,0.023,Simbad,NED,186.30005,54.50613
07524,0.465,0.002,-0.999,0.011,5.521,0.097,0.601,0.06,0.097,0.001,0.244,0.001,0.438,0.003,1.403,0.005,Simbad,NED,186.45384,33.54675
07559,0.622,0.002,-0.966,0.04,18.94,0.179,1.137,0.228,0.208,0.002,0.849,0.001,0.848,0.001,1.414,0.014,Simbad,NED,186.77,37.14417
07577,0.562,0.003,-0.696,0.001,0.633,0.004,2.0,0.0,0.171,0.002,0.13,0.006,0.566,0.002,1.407,0.006,Simbad,NED,186.92446,43.49425
07584,0.677,0.005,-0.648,0.002,1.079,0.01,2.0,0.0,0.135,0.002,0.81,0.002,0.735,0.001,1.414,0.0,Simbad,NED,187.01212,22.58775
07592,0.515,0.002,-1.224,0.013,11.338,0.055,1.239,0.012,0.327,0.001,0.245,0.001,0.624,0.001,1.136,0.005,Simbad,NED,187.04632,44.09356
07599,0.622,0.003,-0.624,0.008,15.138,0.296,2.0,0.0,0.208,0.003,0.849,0.0,0.75,0.001,1.414,0.0,Simbad,NED,187.11762,37.23358
07603,0.677,0.004,-2.55,0.094,10.895,0.377,0.917,0.35,0.135,0.004,0.81,0.002,0.838,0.001,1.414,0.022,Simbad,NED,187.18383,22.8215
07608,0.562,0.003,-1.225,0.053,5.489,0.105,1.503,0.138,0.171,0.004,0.13,0.006,0.419,0.005,1.414,0.014,Simbad,NED,187.18517,43.22578
07648,0.711,0.003,-1.274,0.029,7.168,0.251,1.587,0.08,0.197,0.001,0.598,0.001,0.612,0.002,1.397,0.008,Simbad,NED,187.62964,41.70117
07651,0.711,0.002,-2.065,0.036,11.183,0.101,1.09,0.017,0.197,0.001,0.598,0.002,0.602,0.002,1.408,0.011,Simbad,NED,187.65296,41.64072
07690,0.619,0.004,-1.552,0.093,7.854,0.161,0.93,0.11,0.251,0.003,0.172,0.007,0.446,0.01,1.414,0.021,Simbad,NED,188.11279,42.70461
07704,0.698,0.009,-2.038,0.291,11.195,1.348,0.872,0.238,0.21,0.014,0.295,0.012,0.445,0.006,1.414,0.048,Simbad,NED,188.27708,32.09093
07766,0.55,0.002,-1.202,0.016,7.048,0.026,0.528,0.023,0.097,0.001,0.612,0.001,0.504,0.002,1.414,0.008,Simbad,NED,188.99037,27.95976
07774,,,,,,,,,,,,,,,,,Simbad,NED,189.09583,40.00511
07831,0.632,0.006,-1.546,0.09,8.52,0.12,1.249,0.254,0.32,0.006,0.169,0.005,0.446,0.004,1.414,0.023,Simbad,NED,189.99742,61.60919
07853,0.521,0.002,-1.96,0.043,11.362,0.224,1.657,0.045,0.203,0.001,0.513,0.001,0.617,0.003,1.414,0.004,Simbad,NED,190.38684,41.15076
07861,0.521,0.003,-0.571,0.004,8.234,0.162,1.835,0.049,0.203,0.002,0.513,0.002,0.699,0.001,1.414,0.004,Simbad,NED,190.46959,41.27372
07866,0.529,0.005,-1.125,0.047,5.72,0.158,0.698,0.154,0.205,0.003,0.199,0.004,0.418,0.007,1.414,0.021,Simbad,NED,190.56325,38.50328
07916,0.629,0.005,-1.279,0.109,6.905,0.453,1.249,0.488,0.121,0.002,0.493,0.004,0.501,0.008,1.414,0.03,Simbad,NED,191.10475,34.38653
07917,0.469,0.008,-1.106,0.093,6.777,0.382,2.0,0.0,0.455,0.023,0.554,0.009,0.519,0.009,1.399,0.01,Simbad,NED,191.10924,37.12132
07949,0.568,0.004,-1.465,0.063,6.77,0.296,0.862,0.175,0.15,0.002,0.173,0.004,0.441,0.006,1.374,0.021,Simbad,NED,191.74867,36.47611
07971,0.588,0.004,-1.13,0.054,5.716,0.132,1.301,0.312,0.251,0.005,0.068,0.006,0.425,0.008,1.414,0.025,Simbad,NED,192.09575,51.16608
07989,0.482,0.004,-0.316,0.016,13.668,0.124,1.315,0.042,0.361,0.008,0.811,0.001,0.882,0.001,1.414,0.005,Simbad,NED,192.61089,25.50076
08146,0.669,0.005,-1.301,0.056,8.445,0.191,0.941,0.264,0.259,0.005,0.677,0.003,0.575,0.005,1.375,0.02,Simbad,NED,195.53204,58.69867
08188,0.582,0.003,-1.075,0.026,5.58,0.195,0.841,0.036,0.147,0.003,0.088,0.003,0.441,0.005,1.384,0.017,Simbad,NED,196.45637,37.60453
08201,0.586,0.004,-1.247,0.036,6.856,0.233,1.117,0.079,0.317,0.003,0.162,0.004,0.454,0.003,1.383,0.015,Simbad,NED,196.60354,67.70694
08246,0.633,0.004,-1.722,0.119,8.998,0.314,0.925,0.241,0.186,0.006,0.7,0.003,0.707,0.004,1.414,0.028,Simbad,NED,197.51875,34.18093
08254,0.661,0.004,-0.774,0.017,4.758,0.042,2.0,0.0,0.341,0.005,0.259,0.007,0.753,0.002,1.414,0.0,Simbad,NED,197.6591,36.63422
08271,0.661,0.005,-0.456,0.007,18.757,0.282,1.668,0.087,0.341,0.005,0.259,0.008,0.861,0.001,1.353,0.01,Simbad,NED,197.87999,36.28212
