UGC,Gini,e_Gini,M20,e_M20,C,e_C,A,e_A,S,e_S,Ell,e_Ell,GM,e_GM,Axy,e_Axy,Simbad,NED,_RA,_DE
09642,0.605,0.006,-0.632,0.031,5.737,0.358,2.0,0.0,0.199,0.009,0.736,0.003,0.698,0.005,1.41,0.002,Simbad,NED,224.66592,53.88612
09644,0.639,0.009,-1.269,0.14,6.048,0.6,0.65,0.262,0.194,0.015,0.166,0.02,0.394,0.013,1.414,0.038,Simbad,NED,224.89319,27.11629
09648,0.605,0.004,-0.533,0.034,18.371,0.38,1.32,0.227,0.199,0.007,0.736,0.003,0.839,0.003,1.414,0.0,Simbad,NED,224.74884,53.92317
09649,0.516,0.004,-1.301,0.035,7.04,0.095,1.112,0.134,0.422,0.006,0.37,0.005,0.476,0.004,1.414,0.013,Simbad,NED,224.44125,71.68153
09753,0.624,0.004,-1.337,0.034,8.066,0.248,1.055,0.107,0.347,0.004,0.383,0.004,0.508,0.003,1.378,0.007,Simbad,NED,227.4448,57.00021
09797,0.501,0.008,-0.475,0.035,7.212,0.32,1.29,0.051,0.417,0.005,0.685,0.005,0.811,0.002,1.393,0.012,Simbad,NED,228.84718,55.51711
09805,0.498,0.005,-0.925,0.018,14.97,0.25,1.987,0.011,0.434,0.005,0.78,0.002,0.611,0.003,1.414,0.003,Simbad,NED,229.18008,55.40925
09858,0.577,0.006,-1.737,0.118,9.039,0.221,1.045,0.255,0.31,0.01,0.422,0.008,0.664,0.004,1.373,0.023,Simbad,NED,231.67284,40.5644
09969,0.514,0.006,-1.306,0.054,6.275,0.133,1.177,0.163,0.406,0.007,0.183,0.024,0.566,0.003,1.39,0.013,Simbad,NED,234.90454,59.33195
09992,0.558,0.006,-1.508,0.088,7.33,0.151,1.27,0.21,0.381,0.006,0.071,0.018,0.433,0.005,1.376,0.02,Simbad,NED,235.45004,67.25389
10227,0.6,0.011,-1.329,0.152,7.699,0.37,1.985,0.01,0.424,0.017,0.138,0.021,0.489,0.008,1.399,0.012,Simbad,NED,242.24306,36.61083
10310,0.529,0.007,-1.146,0.051,5.445,0.158,0.813,0.128,0.24,0.006,0.147,0.012,0.422,0.007,1.414,0.02,Simbad,NED,244.07637,47.04575
10359,0.53,0.002,-1.285,0.015,6.906,0.135,0.948,0.029,0.315,0.003,0.181,0.004,0.459,0.003,1.393,0.011,Simbad,NED,245.24234,65.39055
10445,0.509,0.004,-1.376,0.055,6.822,0.121,0.946,0.217,0.22,0.006,0.306,0.006,0.43,0.006,1.414,0.017,Simbad,NED,248.4466,28.98388
10448,0.679,0.008,-1.079,0.143,7.076,0.762,1.827,0.3,0.179,0.018,0.106,0.038,0.537,0.029,1.414,0.04,Simbad,NED,248.60619,21.54084
10470,0.492,0.003,-1.09,0.026,5.83,0.101,1.04,0.027,0.448,0.006,0.039,0.008,0.454,0.004,1.389,0.012,Simbad,NED,248.1634,78.19821
10497,0.548,0.006,-0.965,0.035,11.121,0.63,2.0,0.0,0.43,0.007,0.575,0.004,0.657,0.004,1.409,0.005,Simbad,NED,249.19925,72.4039
10502,0.548,0.007,-0.537,0.022,10.403,0.368,1.696,0.132,0.43,0.008,0.575,0.004,0.748,0.004,1.414,0.012,Simbad,NED,249.40687,72.37481
10546,,,,,,,,,,,,,,,,,Simbad,NED,251.14457,70.78027
10564,0.615,0.004,-0.96,0.083,9.137,0.237,1.104,0.145,0.301,0.006,0.8,0.003,0.901,0.001,1.407,0.015,Simbad,NED,251.59517,70.35506
10713,,,,,,,,,,,,,,,,,Simbad,NED,256.14139,72.44653
10757,0.497,0.01,-0.596,0.018,7.914,0.145,2.0,0.0,0.57,0.01,0.904,0.001,0.703,0.005,1.414,0.0,Simbad,NED,257.55512,72.41074
10769,0.497,0.007,-0.598,0.02,15.168,0.517,2.0,0.0,0.57,0.007,0.904,0.001,0.707,0.006,1.414,0.0,Simbad,NED,257.88895,72.40202
10791,0.497,0.009,-0.946,0.101,19.735,0.182,1.696,0.169,0.57,0.012,0.904,0.001,0.761,0.005,1.411,0.019,Simbad,NED,258.66217,72.39844
10897,0.555,0.005,-1.389,0.063,7.191,0.105,1.063,0.088,0.389,0.004,0.162,0.007,0.459,0.009,1.414,0.017,Simbad,NED,262.40634,75.70433
11124,0.516,0.006,-1.097,0.028,5.682,0.267,0.826,0.103,0.264,0.007,0.208,0.007,0.427,0.008,1.372,0.023,Simbad,NED,271.86512,35.56419
11218,0.528,0.007,-1.33,0.068,7.622,0.24,1.039,0.1,0.437,0.012,0.21,0.011,0.479,0.007,1.38,0.02,Simbad,NED,274.94321,74.5684
11269,0.645,0.004,-1.596,0.086,8.328,0.335,1.111,0.112,0.201,0.003,0.23,0.008,0.49,0.004,1.362,0.025,Simbad,NED,277.6659,67.98705
11283,0.637,0.007,-2.2,0.198,12.918,0.627,1.146,0.19,0.368,0.006,0.633,0.004,0.717,0.005,1.364,0.025,Simbad,NED,278.46905,49.27857
11300,,,,,,,,,,,,,,,,,Simbad,NED,278.70935,70.52389
11429,0.553,0.009,-1.381,0.095,6.749,0.306,1.686,0.165,0.38,0.012,0.268,0.016,0.462,0.007,1.414,0.021,Simbad,NED,290.2392,43.13256
11466,0.574,0.004,-1.98,0.043,9.983,0.121,1.156,0.115,0.356,0.004,0.272,0.004,0.485,0.004,1.378,0.01,Simbad,NED,295.74484,45.29813
11496,0.536,0.01,-1.243,0.063,6.053,0.375,2.0,0.039,0.471,0.004,0.222,0.015,0.496,0.009,1.407,0.01,Simbad,NED,298.25846,67.665
11557,,,,,,,,,,,,,,,,,Simbad,NED,306.00346,60.19478
11670,0.67,0.004,-1.307,0.044,8.231,0.278,0.902,0.302,0.155,0.005,0.6,0.004,0.507,0.003,1.372,0.019,Simbad,NED,315.89005,29.89735
11707,,,,,,,,,,,,,,,,,Simbad,NED,318.63229,26.73458
11852,0.597,0.005,-1.418,0.045,6.903,0.104,0.516,0.167,0.071,0.005,0.473,0.005,0.47,0.006,1.368,0.022,Simbad,NED,328.9971,27.89839
11861,0.535,0.005,-1.033,0.021,5.151,0.092,1.293,0.171,0.324,0.002,0.3,0.005,0.459,0.004,1.381,0.016,Simbad,NED,329.10062,73.26092
11864,0.606,0.007,-1.216,0.119,6.3,0.209,0.755,0.125,0.227,0.008,0.318,0.008,0.423,0.009,1.414,0.031,Simbad,NED,329.47818,42.30618
11891,0.539,0.003,-1.124,0.02,5.648,0.079,1.626,0.18,0.175,0.002,0.293,0.003,0.436,0.004,1.392,0.01,Simbad,NED,330.89083,43.74917
11909,0.685,0.005,-1.24,0.117,7.914,0.651,0.851,0.298,0.27,0.005,0.31,0.004,0.479,0.006,1.339,0.036,Simbad,NED,331.56732,47.2512
11914,0.55,0.007,-0.815,0.016,3.726,0.418,0.457,0.343,0.144,0.01,0.052,0.011,0.462,0.007,1.414,0.021,Simbad,NED,331.9682,31.35926
11951,0.595,0.008,-2.565,0.196,22.098,0.383,1.594,0.124,0.293,0.004,0.897,0.0,0.737,0.002,1.386,0.02,Simbad,NED,333.12549,45.32845
11994,0.61,0.014,-1.335,0.175,7.971,0.666,1.469,0.167,0.291,0.035,0.504,0.028,0.486,0.012,1.414,0.035,Simbad,NED,335.22135,33.29538
12043,0.66,0.006,-1.929,0.149,8.952,0.436,0.444,0.383,0.139,0.005,0.556,0.005,0.483,0.005,1.347,0.033,Simbad,NED,336.96051,29.09599
12060,0.505,0.004,-1.314,0.053,6.906,0.132,0.799,0.057,0.232,0.003,0.244,0.006,0.421,0.004,1.386,0.014,Simbad,NED,337.64042,33.82083
12082,0.555,0.004,-1.278,0.044,6.118,0.084,1.069,0.262,0.178,0.004,0.187,0.003,0.405,0.004,1.383,0.015,Simbad,NED,338.54542,32.86131
12212,0.528,0.007,-1.248,0.049,5.881,0.148,1.554,0.316,0.215,0.005,0.151,0.004,0.398,0.008,1.414,0.016,Simbad,NED,342.62637,29.13844
12276,0.614,0.007,-0.696,0.003,0.271,0.006,2.0,0.0,0.237,0.013,0.09,0.017,0.613,0.006,1.414,0.0,Simbad,NED,344.63565,35.80241
12554,0.689,0.001,-1.087,0.021,8.326,0.07,0.485,0.169,0.079,0.001,0.745,0.0,0.632,0.002,1.414,0.012,Simbad,NED,350.52743,40.84543
12632,0.489,0.003,-1.057,0.012,5.424,0.161,1.168,0.157,0.174,0.003,0.276,0.003,0.421,0.004,1.414,0.01,Simbad,NED,352.49492,40.99033
12693,0.741,0.005,-1.715,0.173,9.354,0.749,1.972,0.052,0.306,0.008,0.588,0.008,0.542,0.01,1.414,0.006,Simbad,NED,353.93176,32.38507
12713,0.673,0.009,-2.222,0.276,11.687,0.555,0.983,0.305,0.183,0.006,0.526,0.005,0.49,0.007,1.346,0.024,Simbad,NED,354.56149,30.70923
12732,0.462,0.003,-1.032,0.014,5.092,0.055,0.575,0.037,0.14,0.002,0.172,0.003,0.388,0.003,1.396,0.01,Simbad,NED,355.1665,26.23606
12754,0.594,0.003,-1.19,0.037,5.628,0.349,0.633,0.231,0.124,0.004,0.377,0.003,0.433,0.006,1.414,0.019,Simbad,NED,355.97656,26.07557
