O,UGC,Gini,M20,c2080,c5080,c2090,c5090,A,S,Ell,GM,Lop,LopX,LopY,Simbad,NED,_RA,_DE
S,731,0.537,-1.06,5.988,2.64,7.356,4.008,0.648,0.205,0.413,0.454,1.414,1.0,1.0,Simbad,NED,17.68333,49.60219
S,1249,0.61,-0.93,9.77,2.956,11.31,4.495,1.27,0.171,0.489,0.663,1.401,0.993,0.989,Simbad,NED,26.87454,27.33335
S,1281,0.69,-1.36,8.43,3.714,9.901,5.185,0.508,0.149,0.703,0.587,1.414,1.0,1.0,Simbad,NED,27.38212,32.58783
S,2023,0.573,-1.32,6.406,2.655,7.617,3.865,0.841,0.199,0.222,0.427,1.375,0.974,0.97,Simbad,NED,38.3255,33.49042
S,2034,0.502,-1.27,6.318,2.707,7.324,3.714,0.759,0.232,0.032,0.396,1.387,0.98,0.981,Simbad,NED,38.42883,40.52867
S,2053,0.626,-1.39,6.949,3.346,8.273,4.671,0.748,0.19,0.101,0.413,1.414,1.0,1.0,Simbad,NED,38.62212,29.74983
S,2455,0.678,-1.34,6.828,3.379,8.313,4.863,0.673,0.129,0.22,0.443,1.414,1.0,1.0,Simbad,NED,44.92849,25.24119
S,3137,0.663,-1.68,10.04,4.421,11.93,6.307,1.283,0.291,0.798,0.595,1.414,1.0,1.0,Simbad,NED,71.57073,76.4189
S,3371,0.481,-1.04,5.447,2.541,6.562,3.657,1.667,0.345,0.32,0.447,1.391,0.981,0.985,Simbad,NED,89.14992,75.31719
S,3698,0.601,-0.66,2.095,0.67,2.606,1.181,1.909,0.306,0.525,0.692,1.414,1.0,1.0,Simbad,NED,107.32812,44.38006
S,3711,0.623,-2.3,10.84,6.411,16.81,12.39,1.02,0.266,0.626,0.758,1.414,1.0,1.0,Simbad,NED,107.55658,44.45734
S,3817,0.589,-1.66,7.61,3.597,9.75,5.737,1.404,0.311,0.226,0.544,1.381,0.978,0.975,Simbad,NED,110.68533,45.10853
S,3851,,,,,,,,,,,,,,Simbad,NED,112.21604,69.20864
S,3966,0.593,-1.56,8.004,3.939,9.604,5.539,1.766,0.325,0.109,0.444,1.414,1.0,1.0,Simbad,NED,115.35817,40.11106
S,4173,0.519,-0.99,5.526,2.3,6.501,3.275,2.0,0.329,0.179,0.476,1.414,1.0,1.0,Simbad,NED,121.79187,80.12681
S,4274,0.683,-0.55,12.94,0.615,13.11,0.778,2.0,0.24,0.865,0.834,1.414,1.0,1.0,Simbad,NED,123.31101,45.98979
S,4278,0.683,-2.55,18.82,13.41,19.18,13.77,1.033,0.24,0.865,0.79,1.362,0.936,0.989,Simbad,NED,123.49487,45.74497
S,4305,0.529,-1.16,5.711,2.426,7.105,3.82,1.092,0.217,0.136,0.42,1.414,1.0,1.0,Simbad,NED,124.77074,70.72003
S,4325,0.536,-1.2,6.142,2.771,7.516,4.145,0.925,0.198,0.288,0.402,1.414,1.0,1.0,Simbad,NED,124.83158,50.00578
S,4499,0.536,-1.29,6.682,2.879,7.809,4.006,0.714,0.227,0.308,0.426,1.414,1.0,1.0,Simbad,NED,129.42325,51.65264
S,4543,0.63,-1.4,7.653,3.841,9.211,5.399,0.922,0.261,0.19,0.49,1.414,1.0,1.0,Simbad,NED,130.83979,45.73586
S,5272,0.7,-1.47,7.853,4.028,9.299,5.474,0.648,0.175,0.071,0.463,1.414,1.0,1.0,Simbad,NED,147.59337,31.48792
S,5414,0.64,-1.18,6.521,2.913,7.949,4.341,0.867,0.206,0.245,0.452,1.369,0.968,0.968,Simbad,NED,150.98787,40.75597
S,5721,0.634,-1.84,8.861,3.798,10.39,5.33,0.628,0.14,0.509,0.473,1.371,0.979,0.959,Simbad,NED,158.072,27.66877
S,5829,0.565,-1.0,5.128,2.253,6.246,3.371,1.089,0.176,0.218,0.469,1.414,1.0,1.0,Simbad,NED,160.67592,34.44897
