O,UGC,Gini,M20,c2080,c5080,c2090,c5090,A,S,Ell,GM,Lop,LopX,LopY,Simbad,NED,_RA,_DE
S,5846,0.547,-1.28,6.299,3.074,7.441,4.216,1.974,0.286,0.134,0.415,1.414,1.0,1.0,Simbad,NED,161.12558,60.36817
S,5918,0.545,-1.18,6.228,2.807,7.801,4.379,1.93,0.276,0.355,0.454,1.397,0.981,0.994,Simbad,NED,162.40333,65.53117
S,5935,0.617,-0.98,13.95,9.23,16.76,12.04,1.708,0.321,0.7,0.838,1.414,1.0,1.0,Simbad,NED,162.47969,32.99061
S,5986,0.694,-1.51,8.889,3.678,10.21,4.994,1.13,0.157,0.579,0.558,1.414,1.0,1.0,Simbad,NED,163.12972,36.61878
S,6446,0.541,-1.16,5.981,2.577,7.239,3.835,0.703,0.222,0.273,0.423,1.38,0.971,0.981,Simbad,NED,171.66896,53.74653
S,6628,0.583,-1.09,5.163,2.113,6.565,3.514,1.447,0.182,0.167,0.419,1.378,0.974,0.974,Simbad,NED,175.02392,45.94228
S,6817,0.546,-1.58,8.124,3.121,9.282,4.279,0.909,0.227,0.238,0.442,1.414,1.0,1.0,Simbad,NED,177.72077,38.88081
S,6944,0.652,-1.18,11.36,3.214,13.26,5.112,1.423,0.207,0.278,0.656,1.386,0.978,0.982,Simbad,NED,179.43379,32.29416
S,6956,,,,,,,,,,,,,,Simbad,NED,179.60817,50.91761
S,7047,0.639,-1.25,6.52,3.436,8.098,5.013,0.881,0.213,0.285,0.495,1.379,0.972,0.978,Simbad,NED,181.00937,52.58861
S,7125,0.664,-1.44,9.585,3.997,11.51,5.924,0.774,0.138,0.709,0.602,1.414,1.0,1.0,Simbad,NED,182.17297,36.8023
S,7151,0.677,-1.25,7.739,3.416,8.968,4.646,1.051,0.144,0.518,0.565,1.358,0.982,0.938,Simbad,NED,182.49417,46.45718
S,7199,0.579,-2.05,10.91,4.459,12.19,5.739,1.142,0.301,0.328,0.514,1.363,0.95,0.977,Simbad,NED,183.03762,36.16808
S,7232,0.63,-0.59,12.23,0.218,12.29,0.272,1.787,0.391,0.781,0.777,1.402,0.989,0.994,Simbad,NED,183.43399,36.63127
S,7261,0.551,-1.07,5.095,2.277,6.593,3.775,0.559,0.138,0.138,0.391,1.414,1.0,1.0,Simbad,NED,183.80983,20.65908
S,7278,,,,,,,,,,,,,,Simbad,NED,183.91322,36.32689
S,7323,0.531,-0.94,4.988,2.487,6.25,3.749,0.74,0.172,0.255,0.456,1.414,1.0,1.0,Simbad,NED,184.3755,45.61919
S,7399,0.605,-1.79,9.345,4.521,11.65,6.829,1.084,0.253,0.381,0.496,1.381,0.979,0.974,Simbad,NED,185.15883,46.29102
S,7408,0.554,-1.62,8.401,4.015,10.14,5.749,1.12,0.307,0.257,0.571,1.414,1.0,1.0,Simbad,NED,185.31362,45.81169
S,7490,0.528,-1.27,6.427,2.844,7.467,3.884,1.78,0.402,0.053,0.506,1.397,0.989,0.986,Simbad,NED,186.10346,70.33414
S,7524,0.465,-1.0,5.503,2.047,6.297,2.841,0.61,0.097,0.244,0.438,1.403,0.991,0.993,Simbad,NED,186.45384,33.54675
S,7559,0.622,-0.97,18.85,14.29,19.16,14.6,1.207,0.208,0.849,0.849,1.388,0.98,0.982,Simbad,NED,186.77,37.14417
S,7577,0.562,-0.7,0.634,0.297,0.738,0.4,2.0,0.171,0.13,0.566,1.406,0.988,1.0,Simbad,NED,186.92446,43.49425
S,7592,0.515,-1.22,11.32,3.917,12.03,4.629,1.235,0.327,0.245,0.624,1.137,0.801,0.806,Simbad,NED,187.04632,44.09356
S,7603,0.677,-2.56,10.94,5.335,14.31,8.708,0.917,0.135,0.81,0.838,1.414,1.0,1.0,Simbad,NED,187.18383,22.8215
S,7608,0.562,-1.22,5.544,2.183,6.663,3.302,1.462,0.171,0.13,0.424,1.388,0.982,0.981,Simbad,NED,187.18517,43.22578
S,7690,0.619,-1.66,7.975,3.644,9.77,5.438,0.896,0.251,0.172,0.433,1.414,1.0,1.0,Simbad,NED,188.11279,42.70461
S,7866,0.529,-1.13,5.702,2.555,6.823,3.676,0.725,0.205,0.199,0.416,1.372,0.969,0.972,Simbad,NED,190.56325,38.50328
S,7916,0.629,-1.26,6.875,3.275,8.127,4.527,1.44,0.121,0.493,0.499,1.361,0.954,0.971,Simbad,NED,191.10475,34.38653
S,7971,0.588,-1.13,5.743,2.7,7.345,4.302,1.267,0.251,0.068,0.422,1.367,0.961,0.972,Simbad,NED,192.09575,51.16608
S,8188,0.582,-1.09,5.581,2.796,7.092,4.306,0.844,0.147,0.088,0.446,1.414,1.0,1.0,Simbad,NED,196.45637,37.60453
S,8201,0.586,-1.27,6.842,3.391,8.181,4.73,1.104,0.317,0.162,0.453,1.381,0.984,0.969,Simbad,NED,196.60354,67.70694
S,8286,0.743,-1.48,9.101,3.785,10.4,5.086,0.797,0.148,0.627,0.615,1.414,1.0,1.0,Simbad,NED,198.04916,44.03802
S,8331,0.554,-1.17,8.505,3.208,9.563,4.266,1.321,0.364,0.494,0.577,1.414,1.0,1.0,Simbad,NED,198.8745,47.49961
S,8490,0.53,-1.63,8.116,3.474,9.288,4.646,0.924,0.312,0.232,0.466,1.414,1.0,1.0,Simbad,NED,202.40212,58.41873
S,8550,0.663,-1.65,8.773,3.39,9.898,4.516,0.624,0.212,0.461,0.547,1.346,0.924,0.978,Simbad,NED,203.5118,47.91547
S,8683,0.559,-1.27,6.333,2.586,7.992,4.245,0.848,0.249,0.145,0.439,1.414,1.0,1.0,Simbad,NED,205.6355,39.6585
S,8837,0.66,-1.13,8.162,3.131,9.28,4.249,0.976,0.234,0.498,0.565,1.414,1.0,1.0,Simbad,NED,208.69067,53.90075
S,9128,0.668,-2.03,9.998,5.253,11.65,6.901,1.728,0.169,0.17,0.436,1.414,1.0,1.0,Simbad,NED,213.98625,23.0545
S,9211,0.533,-1.42,7.158,3.309,8.413,4.564,0.786,0.266,0.329,0.445,1.378,0.979,0.969,Simbad,NED,215.63375,45.38333
S,9992,0.558,-1.51,7.369,3.175,8.744,4.55,1.332,0.381,0.071,0.433,1.414,1.0,1.0,Simbad,NED,235.45004,67.25389
S,10310,0.529,-1.15,5.469,2.58,6.697,3.809,0.813,0.24,0.147,0.421,1.414,1.0,1.0,Simbad,NED,244.07637,47.04575
S,11557,,,,,,,,,,,,,,Simbad,NED,306.00346,60.19478
S,11707,,,,,,,,,,,,,,Simbad,NED,318.63229,26.73458
S,11861,0.535,-1.03,5.163,2.526,6.439,3.802,1.239,0.324,0.3,0.459,1.414,1.0,1.0,Simbad,NED,329.10062,73.26092
S,12060,0.505,-1.32,6.87,3.353,8.111,4.594,0.794,0.232,0.244,0.422,1.387,0.978,0.983,Simbad,NED,337.64042,33.82083
S,12632,0.489,-1.06,5.429,2.455,6.485,3.51,1.152,0.174,0.276,0.419,1.394,0.988,0.984,Simbad,NED,352.49492,40.99033
S,12732,0.462,-1.03,5.083,1.91,5.99,2.817,0.588,0.14,0.172,0.389,1.414,1.0,1.0,Simbad,NED,355.1665,26.23606
N,89,0.704,1.11,20.18,5.367,20.38,5.564,1.633,0.106,0.567,0.827,1.392,0.982,0.987,Simbad,NED,2.47255,25.92374
N,94,0.704,1.229,21.12,5.28,21.27,5.426,1.924,0.106,0.567,0.854,1.414,1.0,1.0,Simbad,NED,2.60782,25.8318
N,232,0.621,1.599,6.958,3.154,8.77,4.966,1.03,0.124,0.083,0.354,1.363,0.961,0.967,Simbad,NED,6.16127,33.25614
N,499,,,,,,,,,,,,,,Simbad,NED,12.19632,31.95692
N,508,0.521,0.597,3.293,2.655,3.444,2.806,2.0,0.287,0.76,0.587,1.414,1.0,1.0,Simbad,NED,12.44914,32.27772
N,624,0.721,2.902,17.32,12.06,18.13,12.87,1.168,0.22,0.607,0.838,1.366,0.972,0.96,Simbad,NED,15.15171,30.66892
N,798,0.521,0.697,0.224,0.103,0.276,0.156,2.0,0.164,0.144,0.521,1.414,1.0,1.0,Simbad,NED,18.79922,30.19487
N,1310,,,,,,,,,,,,,,Simbad,NED,27.74372,21.99755
N,1541,0.729,0.567,13.29,0.619,13.54,0.871,1.636,0.112,0.797,0.87,1.414,1.0,1.0,Simbad,NED,30.86708,38.11697
N,2045,0.735,1.971,10.44,5.599,12.44,7.592,0.696,0.115,0.13,0.437,1.414,1.0,1.0,Simbad,NED,38.55577,29.31124
N,2141,0.679,2.564,12.36,6.699,18.93,13.26,1.366,0.29,0.722,0.735,1.414,1.0,1.0,Simbad,NED,39.81235,30.15167
N,2154,0.483,0.654,9.121,3.691,10.25,4.824,1.721,0.434,0.527,0.701,1.405,1.0,0.987,Simbad,NED,40.09958,39.06286
N,2183,0.667,1.21,22.22,15.49,22.56,15.84,1.357,0.179,0.826,0.899,1.414,1.0,1.0,Simbad,NED,40.7012,28.57427
N,2487,0.506,0.474,7.441,3.181,16.61,12.35,1.086,0.305,0.673,0.859,1.387,0.986,0.976,Simbad,NED,45.42649,35.20565
N,2916,0.639,1.067,10.34,5.281,11.5,6.439,1.568,0.259,0.441,0.783,1.385,0.972,0.986,Simbad,NED,60.64098,71.70592
N,2941,0.709,0.557,15.36,8.773,18.04,11.46,1.474,0.175,0.126,0.86,1.373,0.972,0.969,Simbad,NED,60.93325,22.15904
N,2953,,,,,,,,,,,,,,Simbad,NED,61.94362,69.81256
N,3205,0.703,2.317,7.609,3.83,10.85,7.07,0.955,0.199,0.808,0.862,1.414,1.0,1.0,Simbad,NED,74.06173,30.05219
N,3354,0.713,3.084,10.08,4.951,12.75,7.621,1.2,0.325,0.866,0.923,1.343,0.927,0.972,Simbad,NED,86.82595,56.11238
N,3382,0.583,0.488,8.344,4.287,17.15,13.09,2.0,0.319,0.751,0.862,1.414,1.0,1.0,Simbad,NED,89.9489,62.15795
N,3407,0.646,0.697,0.714,0.182,0.772,0.24,2.0,0.317,0.542,0.648,1.414,1.0,1.0,Simbad,NED,92.28381,42.08514
N,3426,0.701,0.695,0.447,0.195,0.61,0.358,2.0,0.329,0.313,0.695,1.414,1.0,1.0,Simbad,NED,93.90191,71.03757
N,3546,0.645,0.297,19.5,15.17,19.52,15.19,1.278,0.309,0.908,0.935,1.414,1.0,1.0,Simbad,NED,102.5361,60.84569
N,3580,0.554,1.485,7.839,3.383,9.193,4.737,0.968,0.382,0.556,0.508,1.376,0.965,0.98,Simbad,NED,103.87864,69.563
N,3642,0.549,0.753,5.965,2.962,11.99,8.992,0.937,0.248,0.298,0.822,1.414,1.0,1.0,Simbad,NED,106.0846,64.02035
N,3965,0.635,1.643,6.79,3.203,8.753,5.166,0.838,0.233,0.475,0.699,1.371,0.971,0.967,Simbad,NED,115.32534,34.23224
N,3993,0.567,0.341,18.28,13.38,18.43,13.54,1.363,0.417,0.878,0.897,1.394,1.0,0.971,Simbad,NED,118.93328,84.92637
N,4458,0.604,0.692,0.682,0.45,1.216,0.984,2.0,0.111,0.623,0.601,1.414,1.0,1.0,Simbad,NED,128.04706,22.56058
N,4605,0.594,1.529,9.107,4.158,10.59,5.64,0.86,0.151,0.815,0.619,1.414,1.0,1.0,Simbad,NED,132.29947,60.22112
N,4637,,,,,,,,,,,,,,Simbad,NED,133.90721,78.22308
N,4666,0.576,0.682,0.464,0.25,0.527,0.313,2.0,0.206,0.714,0.596,1.414,1.0,1.0,Simbad,NED,133.89479,58.73441
N,4862,0.583,1.645,9.964,5.648,11.25,6.937,1.385,0.111,0.582,0.683,1.414,1.0,1.0,Simbad,NED,138.52133,40.1138
N,5060,0.61,1.132,10.51,5.204,23.09,17.79,0.966,0.141,0.887,0.902,1.361,0.959,0.965,Simbad,NED,142.57062,29.53999
N,5253,0.455,0.531,8.2,3.544,10.34,5.685,1.46,0.527,0.186,0.725,1.352,0.937,0.975,Simbad,NED,147.59264,72.27865
N,5351,0.689,0.692,0.239,0.099,0.338,0.198,2.0,0.221,0.377,0.694,1.414,1.0,1.0,Simbad,NED,149.58774,32.36999
N,5559,0.53,0.781,12.02,1.462,12.43,1.879,1.783,0.329,0.66,0.691,1.397,0.995,0.98,Simbad,NED,154.52351,21.83194
N,5906,0.622,1.713,8.275,3.965,9.829,5.519,1.226,0.162,0.119,0.413,1.414,1.0,1.0,Simbad,NED,162.05065,28.60177
N,5960,0.768,2.126,10.98,5.653,14.67,9.351,1.302,0.181,0.216,0.524,1.414,1.0,1.0,Simbad,NED,162.83629,32.76637
N,6001,0.705,0.721,20.8,0.642,20.94,0.781,1.487,0.256,0.887,0.849,1.359,0.955,0.966,Simbad,NED,163.2839,33.91027
N,6118,0.638,0.62,16.77,0.599,16.96,0.791,1.398,0.105,0.792,0.812,1.414,1.0,1.0,Simbad,NED,165.79663,27.97244
N,6283,0.656,1.607,8.93,3.84,10.6,5.508,0.636,0.167,0.642,0.53,1.352,0.928,0.983,Simbad,NED,168.96658,41.59138
N,6621,0.779,0.688,0.179,0.067,0.216,0.104,2.0,0.112,0.66,0.782,1.414,1.0,1.0,Simbad,NED,174.92697,31.90936
N,6623,,,,,,,,,,,,,,Simbad,NED,174.93582,31.93131
N,6742,0.63,2.351,11.8,5.073,13.77,7.041,0.902,0.306,0.206,0.485,1.414,1.0,1.0,Simbad,NED,176.48597,50.19991
N,6786,0.688,0.324,14.08,8.965,19.6,14.49,0.842,0.108,0.882,0.916,1.413,1.0,0.999,Simbad,NED,177.28931,27.02207
N,6787,0.548,0.898,7.255,2.799,9.219,4.764,0.886,0.244,0.444,0.866,1.393,0.992,0.978,Simbad,NED,177.31404,56.08435
N,7166,0.452,0.955,5.205,1.671,5.974,2.439,0.96,0.211,0.086,0.467,1.414,1.0,1.0,Simbad,NED,182.63572,39.4058
N,7256,0.552,0.501,7.309,3.794,9.013,5.497,1.046,0.215,0.205,0.672,1.414,1.0,1.0,Simbad,NED,183.77093,33.19724
N,7489,0.562,1.749,8.653,4.209,10.41,5.971,1.272,0.335,0.428,0.523,1.414,1.0,1.0,Simbad,NED,186.15085,39.38298
N,7506,0.612,0.789,22.83,14.82,23.04,15.02,1.628,0.419,0.893,0.85,1.368,0.958,0.977,Simbad,NED,186.30005,54.50613
N,7704,0.698,2.148,11.33,5.91,12.9,7.478,0.985,0.21,0.295,0.443,1.323,0.939,0.932,Simbad,NED,188.27708,32.09093
N,7989,0.482,0.316,13.66,10.46,13.97,10.77,1.315,0.361,0.811,0.882,1.414,1.0,1.0,Simbad,NED,192.61089,25.50076
N,8271,0.661,0.456,18.76,3.29,18.85,3.378,1.668,0.341,0.259,0.861,1.353,0.934,0.979,Simbad,NED,197.87999,36.28212
N,8699,0.693,0.578,18.65,0.266,18.74,0.357,2.0,0.199,0.845,0.831,1.414,1.0,1.0,Simbad,NED,206.28612,41.5033
N,8805,0.477,1.321,6.855,2.81,7.868,3.823,1.224,0.352,0.28,0.483,1.385,0.981,0.978,Simbad,NED,208.32439,33.49076
N,8863,0.557,1.074,5.427,2.726,6.379,3.679,0.678,0.142,0.476,0.484,1.414,1.0,1.0,Simbad,NED,209.06946,47.23556
N,9133,0.517,1.64,7.697,3.198,9.093,4.594,0.632,0.091,0.44,0.47,1.389,0.978,0.986,Simbad,NED,214.03213,35.34372
N,9644,0.639,1.255,5.943,2.996,8.326,5.379,0.65,0.194,0.166,0.394,1.414,1.0,1.0,Simbad,NED,224.89319,27.11629
N,10448,0.679,1.079,7.088,3.103,8.47,4.485,1.791,0.179,0.106,0.538,1.347,0.924,0.98,Simbad,NED,248.60619,21.54084
N,11269,0.645,1.597,8.308,3.441,9.934,5.068,1.111,0.201,0.23,0.49,1.362,0.973,0.953,Simbad,NED,277.6659,67.98705
N,11670,0.67,1.312,8.199,3.481,10.28,5.565,0.985,0.155,0.6,0.506,1.414,1.0,1.0,Simbad,NED,315.89005,29.89735
N,11852,0.597,1.418,6.899,3.262,8.319,4.682,0.516,0.071,0.473,0.47,1.368,0.959,0.975,Simbad,NED,328.9971,27.89839
N,11914,0.55,0.815,3.726,1.517,4.662,2.453,0.457,0.144,0.052,0.462,1.414,1.0,1.0,Simbad,NED,331.9682,31.35926
N,11951,0.595,2.565,22.07,14.34,22.25,14.52,1.594,0.293,0.897,0.737,1.386,0.987,0.973,Simbad,NED,333.12549,45.32845
N,12043,0.66,1.928,8.951,3.946,10.38,5.371,0.444,0.139,0.556,0.483,1.347,0.971,0.934,Simbad,NED,336.96051,29.09599
N,12276,0.614,0.696,0.271,0.138,0.349,0.216,2.0,0.237,0.09,0.613,1.414,1.0,1.0,Simbad,NED,344.63565,35.80241
N,12713,0.673,2.313,11.83,5.11,13.45,6.728,0.882,0.183,0.526,0.495,1.347,0.969,0.936,Simbad,NED,354.56149,30.70923
N,12815,0.64,1.376,9.803,3.29,12.07,5.559,1.632,0.231,0.561,0.678,1.404,0.995,0.99,Simbad,NED,357.85367,20.11182
