Name,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,<A1>,<A2>,Avel,SimbadName,_RA,_DE
LVHIS073,-1.83,6.9,0,,0.206,1.0,,0.14,,,,HIPASS J1526-51,231.575,-51.16278
LVHIS074,-1.63,8.4,1,1,0.082,1.02,1.04,0.05,0.05,0.14,0.02,HIPASS J1620-60,245.24313,-60.49097
LVHIS075,-1.5,8.0,0,3,0.174,1.18,,0.26,0.11,0.28,0.047,HIPASS J1747-64,266.7883,-64.63868
LVHIS076,-1.96,8.1,1,,0.118,1.1,1.16,0.08,0.03,0.16,0.033,HIPASS J2003-31,300.98917,-31.68139
LVHIS077,-1.24,9.1,0,0,0.114,1.05,1.03,0.18,0.18,0.12,0.039,HIPASS J2052-69,313.0068,-69.19331
LVHIS078,-1.19,8.2,0,2,0.1,1.01,1.0,0.17,0.24,0.34,,HIPASS J2202-51,330.673,-51.29644
LVHIS079,-1.28,6.9,1,2,0.206,1.18,,0.24,0.3,0.41,,HIPASS J2326-32,351.61467,-32.38875
LVHIS080,-1.48,7.3,0,1,0.124,1.04,1.12,0.07,0.15,,0.017,HIPASS J2343-31,355.93979,-31.95677
LVHIS081,-1.33,7.4,1,21,0.234,1.25,,0.12,0.25,0.28,,HIPASS J2352-52,358.01167,-52.57889
LVHIS082,-1.36,9.5,1,4,0.138,1.07,1.11,0.05,0.01,0.18,0.021,HIPASS J2357-32,359.45731,-32.59103
